league,year,h_a,xG,xGA,deep,deep_allowed,ppda_coef,oppda_coef
La_liga,2018,a,1.0992,0.928267,3,4,15.428571428571429,8.125
Bundesliga,2015,h,1.24397,2.50129,7,8,8.590909090909092,14.9
EPL,2018,h,3.24988,0.456309,19,0,4.6,24.77777777777778
EPL,2017,a,1.74488,0.685329,8,6,16.294117647058822,8.6
Serie_A,2017,a,0.875229,1.33893,8,4,8.129032258064516,6.666666666666667
La_liga,2015,a,0.27169,1.57618,2,11,10.818181818181818,4.16
Bundesliga,2019,h,1.96616,1.48749,8,7,6.933333333333334,18.95
EPL,2018,h,1.98052,1.35208,12,19,10.705882352941176,11.705882352941176
EPL,2014,a,0.402285,1.47871,5,9,7.076923076923077,4.382352941176471
La_liga,2018,a,1.06272,2.58897,7,5,7.727272727272727,12.25
EPL,2017,h,1.50148,0.565072,7,5,11.666666666666666,14.894736842105264
Serie_A,2019,a,0.50364,1.60851,4,6,17.333333333333332,17.058823529411764
EPL,2016,h,1.94078,0.0131321,12,1,13.047619047619047,13.357142857142858
Bundesliga,2015,a,1.26224,1.35682,5,16,15.551724137931034,2.708333333333333
Bundesliga,2014,a,1.68486,1.26876,5,2,6.833333333333333,7.96969696969697
La_liga,2016,a,1.116,1.58012,3,8,11.416666666666666,9.95
EPL,2014,h,1.39327,0.531276,5,5,18.5,10.470588235294118
La_liga,2015,a,0.748618,2.13172,2,12,10.9,5.482758620689655
La_liga,2019,a,0.675045,1.08861,5,2,5.333333333333333,11.416666666666666
Bundesliga,2014,h,1.77626,0.563215,6,1,9.476190476190476,19.2
La_liga,2019,h,0.240102,2.90047,2,6,12.5,9.307692307692308
Ligue_1,2017,a,0.502454,2.1258,4,10,11.37037037037037,7.233333333333333
EPL,2019,a,0.720709,2.32825,4,8,15.933333333333334,22.526315789473685
La_liga,2019,a,1.01227,0.972134,3,7,11.625,5.583333333333333
La_liga,2017,a,0.310044,1.26948,1,5,7.434782608695652,5.390243902439025
Ligue_1,2018,h,0.853588,0.920134,1,9,6.485714285714286,6.25
EPL,2015,a,1.23579,1.37954,10,12,7.391304347826087,7.7105263157894735
La_liga,2017,h,1.74594,0.791146,4,2,7.757575757575758,8.833333333333334
EPL,2015,h,0.786278,2.16484,6,2,5.769230769230769,7.352941176470588
La_liga,2018,a,0.278344,1.36012,4,15,12.444444444444445,5.137931034482759
La_liga,2018,h,0.56694,1.53593,1,8,6.489795918367347,4.444444444444445
Bundesliga,2016,h,0.446972,1.54672,9,5,4.083333333333333,10.79310344827586
La_liga,2015,a,1.32769,2.06167,5,6,18.823529411764707,9.25925925925926
EPL,2019,h,1.95282,3.9197,11,11,16.416666666666668,11.32
La_liga,2015,h,0.512824,0.900436,9,3,3.0,8.56
Serie_A,2015,a,0.207981,2.43671,1,11,19.6,7.25
La_liga,2016,h,1.10417,3.304,7,1,4.096774193548387,8.48
Serie_A,2017,a,2.70254,1.11066,3,4,12.894736842105264,8.652173913043478
Bundesliga,2015,a,0.857195,0.638351,10,3,6.27906976744186,6.133333333333334
Ligue_1,2019,a,1.73874,2.47739,4,3,9.24,17.42105263157895
Ligue_1,2017,h,2.19074,0.680514,5,3,12.0,9.11111111111111
Ligue_1,2014,a,1.6641,0.328904,4,2,5.931034482758621,8.869565217391305
EPL,2018,h,0.289508,0.245408,7,5,8.875,17.625
EPL,2017,a,0.824508,0.639748,1,11,19.789473684210527,5.777777777777778
Ligue_1,2018,a,0.247116,1.44696,1,3,17.615384615384617,7.730769230769231
Serie_A,2015,h,0.885744,1.36927,9,5,5.727272727272728,19.11111111111111
EPL,2017,a,0.35476,1.81208,2,14,19.526315789473685,11.789473684210526
EPL,2016,h,2.76916,1.22508,14,3,15.3,14.772727272727272
La_liga,2018,a,0.563007,2.66738,1,12,14.8,4.685714285714286
Bundesliga,2018,a,1.84544,1.20038,5,4,11.416666666666666,10.36
Bundesliga,2014,h,0.51879,0.759126,8,3,6.875,7.617647058823529
La_liga,2019,a,1.51929,1.6905,11,5,7.695652173913044,22.23076923076923
EPL,2016,h,1.67016,0.923353,4,5,15.88888888888889,12.35
Serie_A,2017,a,1.72059,4.08123,4,8,22.46153846153846,11.541666666666666
Bundesliga,2019,a,2.03579,0.332903,9,3,6.857142857142857,19.125
La_liga,2015,a,1.57754,2.75252,8,6,8.416666666666666,6.485714285714286
EPL,2017,a,1.19984,1.8756,3,7,14.4,8.318181818181818
Serie_A,2019,a,0.923321,2.01353,7,9,12.826086956521738,11.291666666666666
Bundesliga,2018,h,0.837274,2.76254,3,2,16.5625,8.931034482758621
La_liga,2018,h,1.79501,0.145529,8,2,7.837837837837838,16.166666666666668
EPL,2019,a,1.80384,1.17592,11,4,5.84,15.666666666666666
La_liga,2019,h,1.10771,2.08673,2,9,17.666666666666668,7.6
La_liga,2015,h,0.940499,1.45508,3,7,18.6875,7.217391304347826
EPL,2015,h,0.693548,3.05913,14,3,7.217391304347826,13.217391304347826
Bundesliga,2016,a,1.15857,0.876174,2,6,11.473684210526317,7.137931034482759
Ligue_1,2015,h,1.5591,0.79393,6,1,15.0,12.26086956521739
